[frag] hunt: frames=[(3, 7), (4, 6)] weights=[(3, 3), (4, 3), (3, 4)] modes=['heavyy', 'rand', 'spready'] per-block=400 budget=3300s resume-skip=0
[frag]    314s pass=3 wrote=2720 csafe=125 {'k0': 2480, 'axes': 240, 'CSAFE_DOUBLES': 125, 'no_tight_witness': 141, 'safe_floor_fail': 198, 'k_drift': 16}
[frag]    319s pass=3 wrote=2760 csafe=126 {'k0': 2516, 'axes': 244, 'CSAFE_DOUBLES': 126, 'no_tight_witness': 144, 'safe_floor_fail': 201, 'k_drift': 17}
[frag]    322s pass=3 wrote=2800 csafe=127 {'k0': 2552, 'axes': 248, 'CSAFE_DOUBLES': 127, 'no_tight_witness': 148, 'safe_floor_fail': 204, 'k_drift': 17}
[frag]    326s pass=3 wrote=2840 csafe=128 {'k0': 2589, 'axes': 251, 'CSAFE_DOUBLES': 128, 'no_tight_witness': 151, 'safe_floor_fail': 206, 'k_drift': 17}
[frag]    335s pass=3 wrote=2880 csafe=130 {'k0': 2628, 'axes': 252, 'CSAFE_DOUBLES': 130, 'no_tight_witness': 151, 'safe_floor_fail': 206, 'k_drift': 17}
[frag]    429s pass=5 wrote=3640 csafe=163 {'k0': 3314, 'axes': 326, 'CSAFE_DOUBLES': 163, 'no_tight_witness': 188, 'safe_floor_fail': 279, 'k_drift': 22}
[frag]    432s pass=5 wrote=3680 csafe=164 {'k0': 3351, 'axes': 329, 'CSAFE_DOUBLES': 164, 'no_tight_witness': 190, 'safe_floor_fail': 282, 'k_drift': 22}
[frag]    433s pass=5 wrote=3720 csafe=164 {'k0': 3387, 'axes': 333, 'CSAFE_DOUBLES': 164, 'no_tight_witness': 190, 'safe_floor_fail': 290, 'k_drift': 22}
[frag]    435s pass=5 wrote=3760 csafe=165 {'k0': 3424, 'axes': 336, 'CSAFE_DOUBLES': 165, 'no_tight_witness': 193, 'safe_floor_fail': 292, 'k_drift': 22}
[frag]    437s pass=5 wrote=3800 csafe=166 {'k0': 3459, 'axes': 341, 'CSAFE_DOUBLES': 166, 'no_tight_witness': 197, 'safe_floor_fail': 297, 'k_drift': 22}
[frag]    447s pass=5 wrote=3840 csafe=168 {'k0': 3492, 'axes': 348, 'CSAFE_DOUBLES': 168, 'no_tight_witness': 200, 'safe_floor_fail': 306, 'k_drift': 22}
[frag]    448s pass=5 wrote=3880 csafe=170 {'k0': 3528, 'axes': 352, 'CSAFE_DOUBLES': 170, 'no_tight_witness': 203, 'safe_floor_fail': 308, 'k_drift': 23}
[frag]    449s pass=5 wrote=3920 csafe=171 {'k0': 3563, 'axes': 357, 'CSAFE_DOUBLES': 171, 'no_tight_witness': 205, 'safe_floor_fail': 314, 'k_drift': 24}
[frag]    453s pass=5 wrote=3960 csafe=173 {'k0': 3599, 'axes': 361, 'CSAFE_DOUBLES': 173, 'no_tight_witness': 207, 'safe_floor_fail': 317, 'k_drift': 25}
[frag]    463s pass=5 wrote=3999 csafe=177 {'k0': 3634, 'axes': 365, 'CSAFE_DOUBLES': 177, 'no_tight_witness': 207, 'safe_floor_fail': 321, 'k_drift': 25}
[frag]    470s pass=5 wrote=4039 csafe=182 {'k0': 3670, 'axes': 369, 'CSAFE_DOUBLES': 182, 'no_tight_witness': 209, 'safe_floor_fail': 321, 'k_drift': 26}
[frag]    480s pass=5 wrote=4079 csafe=185 {'k0': 3705, 'axes': 374, 'CSAFE_DOUBLES': 185, 'no_tight_witness': 211, 'safe_floor_fail': 326, 'k_drift': 26}
[frag]    480s pass=5 wrote=4119 csafe=185 {'k0': 3745, 'axes': 374, 'CSAFE_DOUBLES': 185, 'no_tight_witness': 211, 'safe_floor_fail': 326, 'k_drift': 26}
[frag]    480s pass=5 wrote=4159 csafe=188 {'k0': 3782, 'axes': 377, 'CSAFE_DOUBLES': 188, 'no_tight_witness': 212, 'safe_floor_fail': 328, 'k_drift': 26}
[frag]    491s pass=5 wrote=4199 csafe=189 {'k0': 3819, 'axes': 380, 'CSAFE_DOUBLES': 189, 'no_tight_witness': 213, 'safe_floor_fail': 330, 'k_drift': 28}
[frag]    493s pass=5 wrote=4239 csafe=190 {'k0': 3858, 'axes': 381, 'CSAFE_DOUBLES': 190, 'no_tight_witness': 214, 'safe_floor_fail': 330, 'k_drift': 28}
[frag]    497s pass=5 wrote=4279 csafe=191 {'k0': 3896, 'axes': 383, 'CSAFE_DOUBLES': 191, 'no_tight_witness': 215, 'safe_floor_fail': 332, 'k_drift': 28}
[frag]    497s pass=5 wrote=4319 csafe=193 {'k0': 3935, 'axes': 384, 'CSAFE_DOUBLES': 193, 'no_tight_witness': 215, 'safe_floor_fail': 332, 'k_drift': 28}
[frag]    575s pass=7 wrote=5079 csafe=236 {'k0': 4624, 'axes': 455, 'CSAFE_DOUBLES': 236, 'no_tight_witness': 246, 'safe_floor_fail': 395, 'k_drift': 33}
[frag]    576s pass=7 wrote=5119 csafe=236 {'k0': 4661, 'axes': 458, 'CSAFE_DOUBLES': 236, 'no_tight_witness': 247, 'safe_floor_fail': 400, 'k_drift': 33}
[frag]    577s pass=7 wrote=5159 csafe=236 {'k0': 4700, 'axes': 459, 'CSAFE_DOUBLES': 236, 'no_tight_witness': 247, 'safe_floor_fail': 402, 'k_drift': 33}
[frag]    578s pass=7 wrote=5199 csafe=237 {'k0': 4736, 'axes': 463, 'CSAFE_DOUBLES': 237, 'no_tight_witness': 250, 'safe_floor_fail': 406, 'k_drift': 33}
[frag]    580s pass=7 wrote=5239 csafe=237 {'k0': 4771, 'axes': 468, 'CSAFE_DOUBLES': 237, 'no_tight_witness': 255, 'safe_floor_fail': 411, 'k_drift': 33}
[frag]    582s pass=7 wrote=5279 csafe=239 {'k0': 4807, 'axes': 472, 'CSAFE_DOUBLES': 239, 'no_tight_witness': 255, 'safe_floor_fail': 417, 'k_drift': 33}
[frag]    582s pass=7 wrote=5319 csafe=240 {'k0': 4845, 'axes': 474, 'CSAFE_DOUBLES': 240, 'no_tight_witness': 257, 'safe_floor_fail': 418, 'k_drift': 33}
[frag]    583s pass=7 wrote=5359 csafe=240 {'k0': 4883, 'axes': 476, 'CSAFE_DOUBLES': 240, 'no_tight_witness': 257, 'safe_floor_fail': 422, 'k_drift': 33}
[frag]    584s pass=7 wrote=5399 csafe=240 {'k0': 4919, 'axes': 480, 'CSAFE_DOUBLES': 240, 'no_tight_witness': 261, 'safe_floor_fail': 426, 'k_drift': 33}
[frag]    584s pass=7 wrote=5439 csafe=240 {'k0': 4959, 'axes': 480, 'CSAFE_DOUBLES': 240, 'no_tight_witness': 261, 'safe_floor_fail': 426, 'k_drift': 33}
[frag]    586s pass=7 wrote=5479 csafe=240 {'k0': 4996, 'axes': 483, 'CSAFE_DOUBLES': 240, 'no_tight_witness': 262, 'safe_floor_fail': 431, 'k_drift': 33}
[frag]    589s pass=7 wrote=5519 csafe=242 {'k0': 5034, 'axes': 485, 'CSAFE_DOUBLES': 242, 'no_tight_witness': 262, 'safe_floor_fail': 433, 'k_drift': 33}
[frag]    591s pass=7 wrote=5559 csafe=243 {'k0': 5070, 'axes': 489, 'CSAFE_DOUBLES': 243, 'no_tight_witness': 265, 'safe_floor_fail': 437, 'k_drift': 33}
[frag]    594s pass=7 wrote=5599 csafe=244 {'k0': 5107, 'axes': 492, 'CSAFE_DOUBLES': 244, 'no_tight_witness': 265, 'safe_floor_fail': 442, 'k_drift': 33}
[frag]    596s pass=7 wrote=5639 csafe=244 {'k0': 5144, 'axes': 495, 'CSAFE_DOUBLES': 244, 'no_tight_witness': 268, 'safe_floor_fail': 445, 'k_drift': 33}
[frag]    600s pass=7 wrote=5679 csafe=245 {'k0': 5180, 'axes': 499, 'CSAFE_DOUBLES': 245, 'no_tight_witness': 270, 'safe_floor_fail': 450, 'k_drift': 33}
[frag]    602s pass=7 wrote=5719 csafe=245 {'k0': 5216, 'axes': 503, 'CSAFE_DOUBLES': 245, 'no_tight_witness': 271, 'safe_floor_fail': 456, 'k_drift': 34}
[frag]    606s pass=7 wrote=5759 csafe=247 {'k0': 5252, 'axes': 507, 'CSAFE_DOUBLES': 247, 'no_tight_witness': 274, 'safe_floor_fail': 459, 'k_drift': 34}
